,TransactionID,CustomerID,Gender,Age,Quantity,Price,PurchaseDate,TotalAmount,City_Bengaluru,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kolkata,City_Lucknow,City_Mumbai,City_Pune,ProductCategory_Books,ProductCategory_Electronics,ProductCategory_Fashion,ProductCategory_Furniture,ProductCategory_Groceries,ProductCategory_Sports,PaymentMode_Cash,PaymentMode_UPI,PaymentMode_Wallet,AgeGroup,Month,DayOfWeek
0,T00001,C2824,Female,33,3,1.4023714847824078,2023-03-15,1.0746797200566114,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26-40,3,Wednesday
1,T00002,C1409,Other,20,5,-1.0226455148161042,2023-01-22,-0.3598429682235658,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,18-25,1,Sunday
2,T00003,C5506,Other,47,1,-1.687615170481974,2023-04-18,-1.2617232797015945,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,41-60,4,Tuesday
3,T00004,C5012,Other,21,5,0.3179050144251969,2023-08-09,1.301377084508612,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,18-25,8,Wednesday
4,T00005,C4657,Female,41,1,0.44311738575802556,2023-09-23,-0.733639395920136,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,41-60,9,Saturday
5,T00006,C3286,Male,63,2,0.18491108329202297,2023-05-23,-0.3140827113620251,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,60+,5,Tuesday
6,T00007,C2679,Other,30,5,-1.2136474371882158,2023-10-22,-0.5965339519901558,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,26-40,10,Sunday
7,T00008,C9935,Female,35,5,1.487261228058902,2023-11-12,2.7504518851240682,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,26-40,11,Sunday
8,T00009,C2424,Female,41,5,-0.1652591077235148,2023-06-10,0.7026365589064603,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,41-60,6,Saturday
9,T00010,C7912,Male,70,1,-0.9214852374116156,2023-02-20,-1.0718445127243967,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,60+,2,Monday
10,T00011,C1520,Male,47,5,0.6709048635499512,2023-06-27,1.7388170878401987,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,41-60,6,Tuesday
11,T00012,C1488,Female,50,5,0.013009353157122617,2023-05-26,0.9235481437552776,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,41-60,5,Friday
12,T00013,C2535,Male,43,2,0.1856184978193271,2023-03-26,-0.31373205805274124,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,41-60,3,Sunday
13,T00014,C4582,Other,58,4,-1.3636193169766886,2023-03-02,-0.8821410724018409,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,41-60,3,Thursday
14,T00015,C4811,Female,25,5,-1.6352664954614693,2023-05-28,-1.1190073828230729,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,18-25,5,Sunday
15,T00016,C9279,Other,61,1,0.3645943732272686,2023-05-21,-0.753100654585389,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,60+,5,Sunday
16,T00017,C1434,Female,19,1,-0.4248802392441256,2023-09-07,-0.94876520116577,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,18-25,9,Thursday
17,T00018,C4257,Other,33,5,-0.07471004822858786,2023-08-13,0.814845617877288,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,26-40,8,Sunday
18,T00019,C9928,Male,41,2,-0.6717679092732624,2023-04-25,-0.7387238689047516,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,41-60,4,Tuesday
19,T00020,C7873,Male,49,1,-0.2119484665255865,2023-03-28,-0.8959918781185525,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,41-60,3,Tuesday
20,T00021,C4611,Other,56,3,-1.6048476707873922,2023-05-28,-1.1612611065917753,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,41-60,5,Sunday
21,T00022,C8359,Female,46,2,1.4186420189104025,2023-05-13,0.29745666002898663,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,41-60,5,Saturday
22,T00023,C5557,Female,29,2,1.6846298811767504,2023-11-07,0.42930230431970934,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,26-40,11,Tuesday
23,T00024,C1106,Other,48,5,-1.0792386770004336,2023-02-24,-0.4299736300803332,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,41-60,2,Friday
24,T00025,C3615,Other,55,4,0.5181033256522619,2023-04-29,0.9833345329881718,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,41-60,4,Saturday
25,T00026,C7924,Male,53,1,-0.2041669067252412,2023-12-08,-0.8940632849174914,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,41-60,12,Friday
26,T00027,C6574,Male,40,5,1.4964576169138553,2023-05-23,2.761848117675793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,26-40,5,Tuesday
27,T00028,C5552,Other,40,5,-0.5012810081929703,2023-03-14,0.28623575413190383,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,26-40,3,Tuesday
28,T00029,C3547,Other,28,3,0.8668586876131915,2023-02-19,0.6765128873648144,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,26-40,2,Sunday
29,T00030,C4527,Female,34,4,-0.4170986794437803,2023-04-16,0.05620718324170679,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,26-40,4,Sunday
30,T00031,C6514,Female,65,5,0.18349625423741475,2023-10-10,1.1348167625987893,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,60+,10,Tuesday
31,T00032,C2674,Other,62,1,-0.13837735568595835,2023-09-18,-0.877757906035793,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,60+,9,Monday
32,T00033,C2519,Female,23,4,-0.5140144696844443,2023-03-28,-0.03987182350206455,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,18-25,3,Tuesday
33,T00034,C7224,Male,36,1,1.6747260777944928,2023-01-15,-0.42839569018855594,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,26-40,1,Sunday
34,T00035,C2584,Female,19,3,0.5959189236557147,2023-11-03,0.47506256118125006,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,18-25,11,Friday
35,T00036,C6881,Other,42,4,-0.7934432079695705,2023-01-21,-0.31688793783629576,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,41-60,1,Saturday
36,T00037,C6635,Male,21,2,0.8894959524869233,2023-10-04,0.035167984684676565,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18-25,10,Wednesday
37,T00038,C5333,Male,28,4,-0.35272395745910573,2023-10-03,0.12002608553136511,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,26-40,10,Tuesday
38,T00039,C1711,Male,54,1,0.8187544997565116,2023-04-10,-0.6405409423052772,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,41-60,4,Monday
39,T00040,C8527,Female,67,5,0.44028772764880914,2023-01-04,1.4530346407738715,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,60+,1,Wednesday
40,T00041,C9785,Female,31,3,-0.8358880796078174,2023-09-08,-0.589520885804479,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,26-40,9,Friday
41,T00042,C3045,Male,32,4,1.0804978748590348,2023-01-14,1.5408732947494728,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,26-40,1,Saturday
42,T00043,C7201,Male,59,3,-1.1528097878400618,2023-07-09,-0.8251599096432175,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,41-60,7,Sunday
43,T00044,C2291,Female,32,1,1.1781210796270027,2023-04-15,-0.5514750017471827,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,26-40,4,Saturday
44,T00045,C5803,Female,61,1,-0.6441787427084018,2023-05-25,-1.0031164641047647,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,60+,5,Thursday
45,T00046,C6925,Male,31,1,0.9666041359630719,2023-10-20,-0.6038976714851163,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,26-40,10,Friday
46,T00047,C4150,Female,35,5,-0.6236637214165824,2023-08-07,0.13457819786664435,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,26-40,8,Monday
47,T00048,C2139,Female,59,2,-0.6753049819097829,2023-08-16,-0.7404771354511709,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,41-60,8,Wednesday
48,T00049,C1750,Female,44,3,-0.6010264565428507,2023-09-24,-0.4148955377811282,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,41-60,9,Sunday
49,T00050,C4733,Female,50,2,1.6053994541186893,2023-03-06,0.3900291336799196,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,41-60,3,Monday
50,T00051,C5741,Other,19,2,1.1469948404256216,2023-08-21,0.16280578926399322,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,18-25,8,Monday
51,T00052,C2307,Other,67,3,-0.6505454734541388,2023-06-01,-0.45171413525593107,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,60+,6,Thursday
52,T00053,C4814,Other,67,1,-0.06126917220980964,2023-02-26,-0.8586473006798239,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,60+,2,Sunday
53,T00054,C2654,Male,61,2,-1.573721431586011,2023-12-28,-1.1858068382416438,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,60+,12,Thursday
54,T00055,C7227,Female,18,3,0.10143616907013721,2023-03-03,0.10740256639714699,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18-25,3,Friday
55,T00056,C5554,Other,48,4,-0.7517057508586276,2023-08-16,-0.275510847340803,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,41-60,8,Wednesday
56,T00057,C8428,Female,26,2,-0.6661085930548294,2023-08-10,-0.735918642430481,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,26-40,8,Thursday
57,T00058,C6977,Other,59,1,0.5888447783826736,2023-09-10,-0.6975221050639008,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,41-60,9,Sunday
58,T00059,C3664,Male,29,5,-0.6073931872885877,2023-05-15,0.15474076315046498,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,26-40,5,Monday
59,T00060,C7065,Male,56,3,-1.2935852787735809,2023-02-14,-0.9298299224644428,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,41-60,2,Tuesday
60,T00061,C6820,Other,69,2,-0.8641846606999821,2023-03-12,-0.8341015690299554,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,60+,3,Sunday
61,T00062,C4432,Male,18,1,-1.2780221591728904,2023-05-23,-1.1602091466639237,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,18-25,5,Tuesday
62,T00063,C5374,Female,32,1,0.7756022135909604,2023-12-09,-0.6512358682384343,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,26-40,12,Saturday
63,T00064,C2169,Female,34,3,-0.2742009449283488,2023-03-01,-0.17189279444742916,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,26-40,3,Wednesday
64,T00065,C3803,Male,56,4,0.9411372129801238,2023-07-01,1.4027158908916408,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,41-60,7,Saturday
65,T00066,C9751,Female,69,1,0.6369489662393536,2023-02-10,-0.6855998925482504,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,60+,2,Friday
66,T00067,C5010,Other,37,3,-1.1146094033656395,2023-04-24,-0.7967569915912267,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,26-40,4,Monday
